user_id,age,country,subscription_tier,monthly_spend,last_login_date,satisfaction_score,feedback_text,churned,latitude,longitude,static_column
user_0,41,USA,Free,50.376895783648585,2023-07-23 14:02:59,4,"Amazing service, loved it!",0,28.938231846614492,-114.41207851054591,constant_value
user_1,19,USA,Free,54.382298449381715,2023-04-04 14:00:14,4,Could be better.,0,38.36291554318396,-101.87955914382748,constant_value
user_2,39,USA,Free,17.263272611197973,2023-05-14 02:12:02,5,The UI is a bit confusing.,0,46.62991816320459,-124.2792856592044,constant_value
user_3,37,USA,Free,24.292455470113616,2023-05-30 16:09:39,1,Best product in the market.,0,49.52743952485979,-69.50863942487022,constant_value
user_4,22,USA,Free,52.98328923370997,2023-04-19 19:10:03,3,I found a bug on the checkout page.,0,48.977554023198266,-77.12123676227843,constant_value
user_5,27,Australia,Free,48.40489320794904,2023-02-19 03:32:23,5,Customer support was very helpful.,0,39.07604868141457,-111.49352582291141,constant_value
user_6,37,USA,Free,32.43278052809843,2023-12-11 19:03:55,5,It's okay for the price.,0,27.740636259860416,-115.69998115876228,constant_value
user_7,41,UK,Free,56.7845467770272,2023-05-20 18:00:28,1,I will definitely renew my subscription.,1,42.09912460991991,-120.55169986695924,constant_value
user_8,39,USA,Free,35.634719298795815,2023-12-28 03:35:07,1,The new feature is fantastic!,0,26.92925512010062,-98.27952947874373,constant_value
user_9,20,UK,Premium,60.45845936809254,2023-06-23 13:59:46,3,Had some issues with payment processing.,1,33.824224783624246,-104.08622505710797,constant_value
user_10,33,USA,Free,101.55687976199307,2023-08-13 19:56:50,4,"Amazing service, loved it!",0,39.631398644646126,-91.82868359368575,constant_value
user_11,37,USA,Basic,43.62301453098901,2023-12-09 00:23:22,3,Could be better.,0,26.268460034230213,-77.80194832701015,constant_value
user_12,29,Canada,Basic,36.46869518786219,2023-12-19 15:57:54,2,The UI is a bit confusing.,0,36.09969933792698,-114.77243017903417,constant_value
user_13,45,USA,Basic,29.871408293199238,2023-07-11 19:51:46,3,Best product in the market.,1,35.447595441473,-118.51849225479285,constant_value
user_14,46,USA,Free,29.862942636372594,2023-10-16 05:51:28,4,I found a bug on the checkout page.,0,33.70906518629088,-119.66053656284963,constant_value
user_15,23,USA,Basic,57.642887997705046,2023-03-07 19:54:53,1,Customer support was very helpful.,0,28.019466240986425,-105.92229900773293,constant_value
