customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-Alpha-0,Female,0,Yes,Yes,45,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.41,4743.45,Yes
9928-Beta-1,Male,1,No,Yes,52,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),79.34,4125.68,No
2584-Beta-2,Female,1,Yes,No,16,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.18,1458.88,Yes
2307-Alpha-3,Male,1,No,No,41,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,58.47,2397.27,No
3677-Beta-4,Female,1,Yes,No,32,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,93.9,3004.8,Yes
9179-Beta-5,Female,0,No,Yes,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,93.64,3651.96,No
2796-Alpha-6,Male,1,Yes,No,43,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),45.29,1947.47,No
8123-Alpha-7,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.72,763.84,No
7126-Alpha-8,Male,1,No,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,111.57,2231.4,No
9727-Alpha-9,Male,1,Yes,No,39,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,67.88,2647.32,No
5061-Alpha-10,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,117.18,2812.32,No
5562-Gamma-11,Female,0,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),92.65,4817.8,Yes
8651-Gamma-12,Male,0,Yes,No,58,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,70.08,4064.64,No
5563-Beta-13,Male,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,49.19,1967.6,Yes
3724-Beta-14,Female,1,Yes,No,55,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),69.42,3818.1,Yes
3536-Alpha-15,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.06,3103.98,No
2113-Gamma-16,Male,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),101.87,916.83,Yes
3144-Gamma-17,Female,1,No,Yes,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,104.75,2828.25,Yes
7054-Beta-18,Male,1,No,Yes,21,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.45,1962.45,No
4450-Gamma-19,Female,0,No,No,55,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,68.39,3761.45,No
5291-Alpha-20,Female,1,Yes,Yes,29,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),97.7,2833.3,No
1653-Beta-21,Male,0,Yes,No,48,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),89.81,4310.88,No
7745-Gamma-22,Male,1,Yes,Yes,35,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,53.84,1884.4,Yes
4652-Alpha-23,Male,1,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),74.2,816.2,No
1626-Alpha-24,Female,1,No,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),107.76,6357.84,Yes
2146-Gamma-25,Female,1,Yes,No,26,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),78.93,2052.18,No
3851-Gamma-26,Female,1,Yes,No,11,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),41.11,452.21,No
3780-Gamma-27,Male,1,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.68,1825.28,No
3414-Alpha-28,Male,0,No,Yes,49,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,53.6,2626.4,No
2746-Beta-29,Male,0,No,Yes,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,89.96,3688.36,No
8777-Beta-30,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.28,1099.84,No
